hypothesis,symbol,entry_time,entry_price,planned_entry,entry_gap,stop_loss,target,shares,exit_time,exit_price,exit_reason,pnl,pnl_pct,sizing_mode,risk_budget,risk_per_share,dollar_risk_per_trade,position_value,partial_taken,partial_price,partial_shares,partial_pnl
H11,BTOG,2026-02-02 15:29:00+00:00,3.25,3.21,0.0440,3.09,3.38,10000,2026-02-02 15:53:00+00:00,3.09,stop,-1640.00,-5.05,fixed_risk,2000,0.1640,1640.00,32490.00,False,,0,0.00
H11,OPTX,2026-02-04 18:01:00+00:00,7.01,7.00,0.0100,6.89,7.16,10000,2026-02-04 18:26:00+00:00,7.16,target,1550.00,2.21,fixed_risk,2000,0.1200,1200.00,70100.00,False,,0,0.00
H11,PBM,2026-02-04 15:22:00+00:00,2.91,2.85,0.0575,2.76,2.99,10000,2026-02-04 16:26:00+00:00,2.99,target,812.50,2.79,fixed_risk,2000,0.1500,1500.00,29100.00,False,,0,0.00
H11,ASTI,2026-02-06 14:52:00+00:00,6.16,6.16,0.0000,6.09,6.25,10000,2026-02-06 14:53:00+00:00,6.25,target,975.00,1.58,fixed_risk,2000,0.0650,650.00,61550.00,False,,0,0.00
H11,NTWK,2026-02-06 18:52:00+00:00,3.41,3.39,0.0200,3.35,3.45,10000,2026-02-06 18:57:00+00:00,3.45,target,400.00,1.17,fixed_risk,2000,0.0600,600.00,34100.00,False,,0,0.00
H11,RVSN,2026-02-06 14:38:00+00:00,4.72,4.62,0.1000,4.57,4.70,10000,2026-02-06 14:39:00+00:00,4.70,target,-250.00,-0.53,fixed_risk,2000,0.1500,1500.00,47200.00,False,,0,0.00
H11,HIND,2026-02-09 15:13:00+00:00,2.75,2.75,0.0000,2.72,2.79,10000,2026-02-09 15:26:00+00:00,2.72,stop,-300.00,-1.09,fixed_risk,2000,0.0300,300.00,27500.00,False,,0,0.00
H11,NAMM,2026-02-09 14:43:00+00:00,3.17,3.13,0.0395,3.09,3.19,10000,2026-02-09 14:46:00+00:00,3.09,stop,-800.00,-2.52,fixed_risk,2000,0.0800,800.00,31700.00,False,,0,0.00
H11,FGL,2026-02-11 15:31:00+00:00,13.76,13.50,0.2636,12.99,14.27,3921,2026-02-11 15:43:00+00:00,12.99,stop,-3033.29,-5.62,fixed_risk,2000,0.7736,3033.29,53967.08,False,,0,0.00
H11,NAMM,2026-02-13 14:59:00+00:00,2.41,2.41,0.0000,2.38,2.46,10000,2026-02-13 15:05:00+00:00,2.38,stop,-300.00,-1.24,fixed_risk,2000,0.0300,300.00,24100.00,False,,0,0.00
H11,ASTI,2026-02-17 18:38:00+00:00,5.92,5.92,0.0025,5.85,6.03,10000,2026-02-17 18:42:00+00:00,6.03,target,1062.50,1.79,fixed_risk,2000,0.0750,750.00,59250.00,False,,0,0.00
H11,DBGI,2026-02-17 15:16:00+00:00,5.41,5.36,0.0500,5.27,5.49,10000,2026-02-17 15:18:00+00:00,5.49,target,848.50,1.57,fixed_risk,2000,0.1399,1399.00,54100.00,False,,0,0.00
H11,CDIO,2026-02-18 18:28:00+00:00,2.22,2.18,0.0400,2.10,2.30,10000,2026-02-18 18:32:00+00:00,2.10,stop,-1200.00,-5.41,fixed_risk,2000,0.1200,1200.00,22200.00,False,,0,0.00
H11,PLYX,2026-02-18 14:48:00+00:00,3.25,3.24,0.0100,3.13,3.41,10000,2026-02-18 14:52:00+00:00,3.13,stop,-1200.00,-3.69,fixed_risk,2000,0.1200,1200.00,32500.00,False,,0,0.00
H11,NCI,2026-02-20 15:05:00+00:00,5.45,5.34,0.1050,5.27,5.46,10000,2026-02-20 15:06:00+00:00,5.46,target,75.00,0.14,fixed_risk,2000,0.1800,1800.00,54500.00,False,,0,0.00
H11,VVPR,2026-02-20 15:06:00+00:00,2.38,2.35,0.0237,2.32,2.40,10000,2026-02-20 15:07:00+00:00,2.32,stop,-565.00,-2.38,fixed_risk,2000,0.0565,565.00,23765.00,False,,0,0.00
H11,PBM,2026-02-23 15:12:00+00:00,2.33,2.33,0.0000,2.29,2.39,10000,2026-02-23 15:14:00+00:00,2.29,stop,-395.00,-1.70,fixed_risk,2000,0.0395,395.00,23295.00,False,,0,0.00
H11,CDIO,2026-02-27 14:57:00+00:00,7.16,7.16,0.0000,6.92,7.51,8438,2026-02-27 14:59:00+00:00,6.92,stop,-1999.81,-3.31,fixed_risk,2000,0.2370,1999.81,60390.77,False,,0,0.00
H11,CDIO,2026-03-02 15:15:00+00:00,5.26,5.25,0.0150,5.17,5.37,10000,2026-03-02 15:18:00+00:00,5.37,target,1050.00,1.99,fixed_risk,2000,0.0950,950.00,52650.00,False,,0,0.00
H11,INDO,2026-03-02 14:50:00+00:00,7.40,7.40,0.0000,7.29,7.57,10000,2026-03-02 15:00:00+00:00,7.29,stop,-1100.00,-1.49,fixed_risk,2000,0.1100,1100.00,74000.00,False,,0,0.00
H11,SBLX,2026-03-03 18:33:00+00:00,2.46,2.42,0.0350,2.37,2.49,10000,2026-03-03 19:07:00+00:00,2.49,target,400.00,1.63,fixed_risk,2000,0.0850,850.00,24550.00,False,,0,0.00
H11,BDMD,2026-03-04 18:43:00+00:00,3.32,3.32,0.0000,3.26,3.41,10000,2026-03-04 18:54:00+00:00,3.26,stop,-600.00,-1.81,fixed_risk,2000,0.0600,600.00,33200.00,False,,0,0.00
H11,BTOG,2026-03-04 18:15:00+00:00,2.98,2.95,0.0299,2.90,3.02,10000,2026-03-04 18:26:00+00:00,3.02,target,451.00,1.51,fixed_risk,2000,0.0799,799.00,29799.00,False,,0,0.00
H11,NCI,2026-03-05 18:29:00+00:00,8.00,8.00,0.0000,7.91,8.14,10000,2026-03-05 18:31:00+00:00,8.14,target,1425.00,1.78,fixed_risk,2000,0.0950,950.00,80000.00,False,,0,0.00
H11,VELO,2026-03-06 15:23:00+00:00,13.16,13.16,0.0000,12.94,13.49,9090,2026-03-06 15:40:00+00:00,12.94,stop,-1999.80,-1.67,fixed_risk,2000,0.2200,1999.80,119624.40,False,,0,0.00
H11,EDSA,2026-03-09 14:42:00+00:00,7.05,7.05,0.0000,6.94,7.21,10000,2026-03-09 14:51:00+00:00,7.21,target,1650.00,2.34,fixed_risk,2000,0.1100,1100.00,70500.00,False,,0,0.00
H11,GSIW,2026-03-09 18:28:00+00:00,27.67,27.53,0.1407,26.15,29.59,1452,2026-03-09 18:31:00+00:00,29.59,target,2793.64,6.95,fixed_risk,2000,1.5172,2202.92,40176.84,False,,0,0.00
H11,ACXP,2026-03-10 15:13:00+00:00,2.72,2.72,0.0000,2.65,2.83,10000,2026-03-10 15:15:00+00:00,2.65,stop,-700.00,-2.57,fixed_risk,2000,0.0700,700.00,27200.00,False,,0,0.00
H11,AIDX,2026-03-10 18:10:00+00:00,2.96,2.95,0.0150,2.90,3.02,10000,2026-03-10 18:11:00+00:00,3.02,target,531.00,1.79,fixed_risk,2000,0.0604,604.00,29650.00,False,,0,0.00
H11,CDIO,2026-03-10 14:48:00+00:00,5.09,5.09,0.0001,5.00,5.22,10000,2026-03-10 14:50:00+00:00,5.00,stop,-900.00,-1.77,fixed_risk,2000,0.0900,900.00,50900.00,False,,0,0.00
H11,ACXP,2026-03-11 15:04:00+00:00,4.78,4.78,0.0000,4.68,4.93,10000,2026-03-11 15:05:00+00:00,4.93,target,1500.00,3.14,fixed_risk,2000,0.1000,1000.00,47800.00,False,,0,0.00
H11,BATL,2026-03-11 15:10:00+00:00,21.00,21.00,0.0000,20.76,21.36,8333,2026-03-11 15:11:00+00:00,21.36,target,2999.88,1.71,fixed_risk,2000,0.2400,1999.92,174993.00,False,,0,0.00
H11,GRCE,2026-03-12 15:06:00+00:00,4.44,4.44,0.0000,4.36,4.56,10000,2026-03-12 15:07:00+00:00,4.36,stop,-800.00,-1.80,fixed_risk,2000,0.0800,800.00,44400.00,False,,0,0.00
H11,MCRP,2026-03-12 18:16:00+00:00,4.15,4.15,0.0049,4.10,4.21,10000,2026-03-12 18:37:00+00:00,4.10,stop,-500.00,-1.20,fixed_risk,2000,0.0500,500.00,41500.00,False,,0,0.00
H11,UGRO,2026-03-12 15:25:00+00:00,3.33,3.33,0.0000,3.27,3.43,10000,2026-03-12 15:35:00+00:00,3.27,stop,-614.00,-1.84,fixed_risk,2000,0.0614,614.00,33350.00,False,,0,0.00
H11,EDHL,2026-03-13 14:13:00+00:00,3.62,3.55,0.0700,3.51,3.61,10000,2026-03-13 14:17:00+00:00,3.61,target,-100.00,-0.28,fixed_risk,2000,0.1100,1100.00,36200.00,False,,0,0.00
H11,PIII,2026-03-13 18:32:00+00:00,3.15,3.12,0.0310,3.07,3.19,10000,2026-03-13 19:46:00+00:00,3.13,force_close,-160.00,-0.51,fixed_risk,2000,0.0810,810.00,31510.00,False,,0,0.00
H11,PLYX,2026-03-13 18:32:00+00:00,6.84,6.84,0.0000,6.73,7.00,10000,2026-03-13 18:33:00+00:00,7.00,target,1650.00,2.41,fixed_risk,2000,0.1100,1100.00,68400.00,False,,0,0.00
